[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(38, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(39, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(40, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
